Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
pos_vel/Map/step,1.2025949677883788e-4,1.1946564490363356e-4,1.2124807583060508e-4,3.514712131571017e-6,2.800703382275419e-6,4.6000098348106375e-6
pos_vel/ArrayMapB/init,7.652606498697092e-5,7.629160617204159e-5,7.684202195790494e-5,1.0615691409441194e-6,7.580951341597926e-7,1.545214867507236e-6
pos_vel/ArrayMapB/step,3.8295063266559226e-5,3.711501015301026e-5,3.948897056274349e-5,4.501997932647682e-6,3.922808922875466e-6,5.400278462426699e-6
pos_vel/ArrayMapU/init,8.966427885187075e-5,8.933944280588229e-5,9.011087742718657e-5,1.4657666824879493e-6,1.1603445070131645e-6,1.8641940629641265e-6
pos_vel/ArrayMapU/step,1.2986906020091429e-5,1.2954107087275598e-5,1.3045411833520321e-5,1.6282945421554687e-7,1.0154058935402343e-7,2.5170265022910223e-7
pos_vel/ChunkStoreB/init,9.733684588291382e-5,9.711714782095426e-5,9.769676730618297e-5,1.066805584451054e-6,7.991416763316604e-7,1.7538079924509333e-6
pos_vel/ChunkStoreB/step,6.68793502347567e-5,6.533513543420848e-5,6.8647001118527e-5,6.25154685023448e-6,5.293544657783185e-6,8.049932592628736e-6
pos_vel/SparseStoreB/init,1.139061725418368e-4,1.1365683289168711e-4,1.1417753139274465e-4,9.449390945701437e-7,7.791251857433822e-7,1.1745689055774703e-6
pos_vel/SparseStoreB/step,4.1430979167877674e-5,3.9957346716663474e-5,4.319604319409352e-5,5.626355695667283e-6,4.8395437464467e-6,6.599763460065713e-6
pos_vel/SparseStoreU/init,1.430971587490588e-4,1.4254269700889218e-4,1.4376945795273256e-4,2.3269906157647148e-6,1.8844511296494163e-6,3.1268571327761113e-6
pos_vel/SparseStoreU/step,1.5412822316030557e-5,1.535568697643292e-5,1.5478931525903177e-5,2.5378941652301875e-7,2.103116625511855e-7,3.2816527632119455e-7
